Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Tai Yuen Estate,Tai Po,New Territories,22.45496,114.16897,Public Rental Housing,1980,Double H  Old Slab  Triple H,7,Tai Yee House Tai Ling House Tai Lok House Tai Man House Tai Yan House Tai Tak House Tai Wing House,4 900 As at 30.6.2025,13.6 - 67.9,Formed,Tai Po  North & Shatin District Tenancy Management Office (7) 2/F  On Wo House  Tai Wo Estate  Tai Po Telephone: 2657 2808 Fax: 2657 8660,Funing Property Management Limited G/F  Tai Yee House  Tai Yuen Estate  Tai Po Telephone: 2664 5238 Fax: 2664 4071,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/taiyuenestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tai Yuen,4900,13100,4700
Lower Wong Tai Sin (1) Estate,Wong Tai Sin,Kowloon,22.33921,114.1948,Tenants Purchase Scheme,1989,Linear 1  Trident 4,9,Lung Chak House Lung Tat House Lung Wing House Lung Fung House Lung Hong House Lung Shun House Lung Wah House Lung Yat House Lung Yue House,900 * As at 30.6.2025,Gross Floor Areas (sqm):19.1 - 75.0; Saleable Areas (sqm):13.5 - 55.6,Not applicable (Owners' Corporation Formed),Wong Tai Sin District Tenancy Management Office G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2326 8962 Fax: 2326 6143  Lower Wong Tai Sin (1) Estate Tenants Services Management Office Funing Property Management  Ltd. Unit 115-116  G/F  Lung Wah House  Lower Wong Tai Sin (1) Estate  Kowloon Telephone: 2726 5220 Fax: 2726 3823,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Lower Wong Tai Sin (I),900,1800,900
Tung Tau (II) Estate,Wong Tai Sin,Kowloon,22.33306,114.19336,Tenants Purchase Scheme,1982,Double H  Linear 1  Linear 3  Single H  Slab  Trident 4,20,Chun Tung House Fu Tung House Hong Tung House Kwai Tung House On Tung House Pak Tung House Shing Tung House Tai Tung House Wong Tung House Yue Tung House Choi Tung House Cheung Tung House Hing Tung House Mau Tung House Wai Tung House Wing Tung House Yan Tung House Yat Tung House Ying Tung House Yiu Tung House,1 300 * As at 30.6.2025,Gross Floor Areas (sqm):18.9 - 84.5; Saleable Areas (sqm):13.5 - 65.1,Not applicable (Owners' Corporation Formed),Wong Tai Sin District Tenancy Management Office  G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin  Telephone: 2326 8962  Fax: 2326 6143  Tung Tau (II) Estate Tenants Service Management Office Funing Property Management  Ltd. No. 12  G/F.  Mau Tung House  Tung Tau (II) Estate  Wong Tai Sin Telephone: 2716 7966 Fax: 2726 3823,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Tung Tau (II),1300,2400,1200
Upper Wong Tai Sin Estate,Wong Tai Sin,Kowloon,22.3427,114.1927,Public Rental Housing,2000  2009,Harmony 1 & Annex Block  Harmony 1  Single Aspect Building  Non-standard Block,8,Cheong Sin House Chiu Sin House Kai Sin House Po Sin House Tat Sin House Yat Sin House Yiu Sin House Wing Sin House,4 900 As at 30.6.2025,16.3 - 49.0,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Funing Property Management Ltd. Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 2321 2004 Fax: 2352 6676,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/UpperWongTaiSinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Upper Wong Tai Sin,4900,11400,4800
Po Lam Estate,Sai Kung,New Territories,22.32592,114.25309,Tenants Purchase Scheme,1988,New Slab  Small Household Block  Trident 2,7,Po Tak House Po Chi House Po Kim House Po Kan House Po Ning House Po Tai House Po Yan House,900 * As at 30.6.2025,22.5 - 61.6,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone : 2701 3320 Fax : 2703 6344   Po Lam Estate Tenants Service Management Office Good Yield Property Management Ltd.    G/F  Po Kim House  Po Lam Estate  Tseung Kwan O. N.T.  Telephone: 2174 9348  Fax: 2174 9342,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Po Lam,900,2200,900
Tsz Ching Estate,Wong Tai Sin,Kowloon,22.34989,114.20263,Public Rental Housing,1993 / 2001,Harmony 1  Harmony 3  Harmony 3A  Non-standard,11,Ching Fai House Ching Hong House Ching Ming House Ching On House Ching Tai House Ching Tak House Ching Wo House Ching Yi House Ching Yuk House Ching Yuen House Ancillary Facilities Block,8 100 As at 30.6.2025,13.0 - 52.3,Formed,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Telephone: 2325 0104 Fax: 2351 4358,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Telephone: 2325 0104 Fax: 2351 4358,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TszChingEstate-barrier-free-en2023.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tsz Ching,8100,20500,8000
Sheung Tak Estate,Sai Kung,New Territories,22.31064,114.25768,Public Rental Housing,1998,Harmony 1  Non-standard,9,Sheung Chun House Sheung Lai House Sheung Nim House Sheung Yan House Sheung Chi House Sheung Ming House Sheung Shun House Sheung Yee House Sheung Mei House,5 600 As at 30.6.2025,9.8 - 52.2,Formed,Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone :  2701 3320 Fax  :  2703 6344,Modern Living Property Management Limited No. 21 - 28  G/F  Annex Block  Sheung Yee House  Sheung Tak Estate  Tseung Kwan O. Telephone: 2178 1113 Fax: 2174 8769,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SheungTakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sheung Tak,5600,15700,5500
Tsz Hong Estate,Wong Tai Sin,Kowloon,22.34727,114.20305,Public Rental Housing,2002,New Cruciform,5,Hong Kin House Hong Sau House  Hong Tak House Hong Tim House                       Hong Yun House,2 000 As at 30.6.2025,31.7 - 53.8,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 2324 0096 Fax: 2752 8665,Pioneer Management Ltd G/F  Hong Tim House  Tsz Hong Estate  Tsz Wan Shan Telephone: 2997 5151 Fax: 2997 5000,-,-,<a href= /en/common/pdf/global-elements/estate-locator/TszHongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tsz Hong,2000,6600,2000
Tsz Man Estate,Wong Tai Sin,Kowloon,22.34817,114.20383,Public Rental Housing,1994,Harmony 1,3,Man Kin House Man Tai House Man Yue House,2 000 As at 30.6.2025,16.9 - 49.3,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Tsz Wan Shan Telephone: 2324 0096 Fax: 2752 8665,Pioneer Management Ltd  G/F  Hong Sau House  Tsz Hong Estate  Tsz Wan Shan   Telephone: 2324 4176  (24-Hr Telephone: 2324 1679)  Fax: 2351 9164,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TszManEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tsz Man,2000,5700,2000
Tsui Lam Estate,Sai Kung,New Territories,22.32348,114.24827,Tenants Purchase Scheme,1988,New Slab  Trident 2,8,Choi Lam House Fai Lam House Hong Lam House Nga Lam House On Lam House Pik Lam House Sau Lam House Yan Lam House,700 * As at 30.6.2025,30.1 - 61.1,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone : 2701 3320 Fax : 2703 6344   Tsui Lam Estate Tenants Service Management Office   Good Yield Property Management Ltd.    Flat 47-52  2/F.  On Lam House  Tsui Lam Estate  Tseung Kwan O  N.T.  Telephone : 2706 7181  Fax : 2706 1877,Appointed by Owner's Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Tsui Lam,700,2000,700
Ming Tak Estate,Sai Kung,New Territories,22.31611,114.26903,Public Rental Housing,1996,Harmony 1,2,Ming Kok House Ming Toa House,1 500 As at 30.6.2025,13.7 - 43.6,Formed,Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone :  2701 3320 Fax  :  2703 6344,Good Yield Property Management Limited G/F  Ming Toa House  Ming Tak Estate  Tseung Kwan O Telephone: 2623 6553 Fax: 2623 6557,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/MingTakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ming Tak,1500,3900,1500
Chun Shek Estate,Sha Tin,New Territories,22.37367,114.18704,Public Rental Housing,1984,Double H  Old Slab  Single H,4,Shek Fai House Shek Jing House Shek Yuk House Shek Ying House,2 100 As at 30.6.2025,10.7 - 58.0,Formed,Chun Shek Estate Office G/F  Shek Yuk House  Chun Shek Estate  Shatin Telephone :  2698 1234 Fax  :  2699 9562,Chun Shek Estate Office G/F  Shek Yuk House  Chun Shek Estate  Shatin Telephone :  2698 1234 Fax  :  2699 9562,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChunShekEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Chun Shek,2100,4900,2100
Heng On Estate,Sha Tin,New Territories,22.41583,114.22905,Tenants Purchase Scheme,1987,New Slab  Trident 3,7,Heng Fung House Heng Hoi House Heng Kong House Heng Shan House Heng Sing House Heng Yat House Heng Yuet House,400 * As at 30.6.2025,Gross Floor Areas (sqm):42.5 - 63.6; Saleable Areas (sqm):32.4 - 49.5,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (10) G/F  Sha Kok Community Hall  Sha Kok Estate  Shatin Telephone : 2647 1311 Fax : 2637 5251   Heng On Estate Tenants Service Management Office Kai Fu Property Services Company Ltd. Room 227  Yiu Wo House  Yiu On Estate  Ma On Shan  Shatin  N.T. Telephone :  2640 3113 Fax  :  2640 3010,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Heng On,400,900,300
Kwai Shing East Estate,Kwai Tsing,New Territories,22.36331,114.1287,Public Rental Housing,1989,Harmony 1  Harmony 3A  Linear 1  Small Household Block,11,Shing Fung House Shing Hei House Shing On House Shing Kwok House Shing Lok House Shing Yat House Shing Fu House Shing Hing House Shing Ka House Shing Keung House Shing Wo House,6 300 As at 30.6.2025,16.3 - 52.3,Formed,Sheung Kwai Chung District Tenancy Management Office Unit D  Podium Floor  Shek Yam Shopping Centre  Kwai Chung T : 2421 2426 F : 2276 0132,Pioneer Management Limited G/F  Shing On House  Kwai Shing East Estate  Kwai Chung  N.T. Telephone: 2428 3991 Fax: 2419 2195,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only  <a href= /en/common/pdf/global-elements/estate-locator/KwaiShingEastEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kwai Shing (East),6300,16000,6200
Hin Keng Estate,Sha Tin,New Territories,22.36399,114.17324,Tenants Purchase Scheme,1986,Trident 2  Trident 3  Trident 4,8,Hin Fu House Hin Hing House Hin Kwai House Hin Pui House Hin Tak House Hin Wan House Hin Yeung House Hin Yau House,300 * As at 30.6.2025,Gross Floor Areas (sqm):30.32 - 47.86;  Saleable Areas (sqm):22.33 - 39.42,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (2) Market Podium  Pok Hong Estate  Shatin Telephone : 2648 1312 Fax : 2649 1648   Hin Keng Estate Tenants Service Management Office Creative Property Services Consultants Ltd. G/F  Hin Yiu House  Hin Yiu Estate  Shatin Telephone : 2278 4000 Fax : 2278 4009,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Hin Keng,300,700,300
On Yam Estate,Kwai Tsing,New Territories,22.36947,114.14165,Public Rental Housing,1994,Harmony 1,8,Fung Yam House Hong Yam House Kar Yam House Shing Yam House Tak Yam House Yiu Yam House Cheung Yam House Chak Yam House,5 300 As at 30.6.2025,13.7 - 52.7,Formed,On Yam Estate Office 2/F  Shopping Centre  On Yam Estate  Kwai Chung T : 2481 2998 F : 2428 4334,On Yam Estate Office 2/F  Shopping Centre  On Yam Estate  Kwai Chung T : 2481 2998 F : 2428 4334,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/OnYamEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,On Yam,5300,15600,5200
Lee On Estate,Sha Tin,New Territories,22.4252,114.24137,Public Rental Housing,1993,Harmony 2,5,Lee Wah House Lee Fung House Lee Hing House Lee Shing House Lee Wing House,3 600 As at 30.6.2025,16.4 - 52.2,Formed,Tai Po  North & Shatin District Tenancy Management Office (2) Market Podium  Pok Hong Estate  Shatin Telephone : 2648 1312 Fax : 2649 1648,Kai Fu Property Services Company Ltd. G/F.  Lee Fung House  Lee On Estate  Ma On Shan. Telephone :  2643 5038 Fax  :  2640 7007,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/leeonestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lee On,3600,9900,3600
Shek Lei (I) Estate,Kwai Tsing,New Territories,22.36252,114.13712,Public Rental Housing,1985,Double H  Harmony 1  Linear 3  New Slab,9,Shek Hing House Shek Ning House Shek On House Shek Sau House Shek Tai House Shek Chun High Block Shek Chun Low Block Shek Yat High Block Shek Yat Low Block,4 900 As at 30.6.2025,11.5 - 57.6,Formed,Ha Kwai Chung District Tenancy Management Office  Wing C  G/F  Shek Cheung House  Shek Lei (II) Estate  Kwai Chung  T : 2420 6987  F : 2429 9431,China Overseas Property Services Limited G/F  Shek Ning House  Shek Lei (1) Estate  Kwai Chung  N.T. Telephone: 2420 6988 Fax: 2429 9402 Website: www.copl.com.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShekLeiIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Lei (I),4900,12300,4800
Tai Hing Estate,Tuen Mun,New Territories,22.40436,113.97221,Public Rental Housing,1977 - 1980,Cruciform  Old Slab,7,Hing Cheung House Hing Fai House Hing Ping House Hing Shing House Hing Tai House Hing Wai House Hing Yiu House,8 600 As at 30.6.2025,22.0 - 47.3,Formed,Tai Hing Estate Office  No. 26-38  G/F  Hing Wai House  Tai Hing Estate  Tuen Mun Telephone: 2462 4601 Fax: 2464 7547,Tai Hing Estate Office  No. 26-38  G/F  Hing Wai House  Tai Hing Estate  Tuen Mun Telephone: 2462 4601 Fax: 2464 7547,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TaiHingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tai Hing,8600,18400,8400
Cheung Wang Estate,Kwai Tsing,New Territories,22.35639,114.09622,Public Rental Housing,2001 - 2003,New Harmony 1  Harmony 1,7,Wang Ching House Wang Man  House Wang Ngai House Wang Sin House Wang Sum House Wang Yee House Wang Yung House,4 300 As at 30.6.2025,16.3 - 43.3,Formed,Shek Wai Kok Estate Office  4/F  Shek Fong House  Shek Wai Kok Estate  Telephone: 2416 5341  Fax: 2415 3846,Pioneer Management Ltd G/F  Wang Man House  Cheung Wang Estate  Tsing Yi Telephone: 2497 0277 Fax: 2435 2462,Owned and operated by private corporation,,<a href= /en/common/pdf/global-elements/estate-locator/CheungWangEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Cheung Wang,4300,11200,4200
Easeful Court,Kwai Tsing,New Territories,22.36007,114.10367,Public Rental Housing,2003,Non-standard,2,Tower 1 Tower 2,500 As at 30.6.2025,34.2 - 49.5,Not applicable (Owners' Corporation Formed),Lei Muk Shue Estate Office Podium Wing C  Kwai Shue House  Lei Muk Shue Estate  Tsuen Wan  N.T. Telephone: 2423 7680 Fax: 2423 6854,China Resources Property Management Ltd. G/F  Tower 1  Easeful Court  No. 2  Tsing King Road  Tsing Yi Telephone: 2433 9860 Fax: 2433 9290 Web Site: www.crc.com.hk  Pioneer Management Ltd G/F  Yin Fat House  Cheung Fat Estate  Tsing Yi  N.T. Telephone: 2433 1622 Fax: 2433 6588,China Resources Property Management Ltd. G/F  Tower 1  Easeful Court  No. 2  Tsing King Road  Tsing Yi Telephone: 2433 9860 Fax: 2433 9290 Web Site: www.crc.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/EasefulCourt-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Easeful Court,500,1800,500
Kwai Fong Estate,Kwai Tsing,New Territories,22.35904,114.12857,Public Rental Housing,1987,Harmony 1  Harmony 3  Linear 1  Linear 3  New Slab  Small Household Block  New Cruciform,12,Kwai Chi House Kwai Hei House Kwai Kin House Kwai On House Kwai Shun House Kwai Tak House Kwai Yan House Kwai Ching House Kwai Foon House Kwai Ming House Kwai Oi House Kwai Tai House,6 300 As at 30.6.2025,10.5 - 60.3,Formed,Sheung Kwai Chung District Tenancy Management Office Rm 406-409  4/F  Kwai Tai House  Kwai Fong Estate  Kwai Chung T : 2422 1808 F : 2487 4191,China Overseas Property Services Limited G/F  Kwai Tai House  Kwai Fong Estate  Kwai Chung  N.T. Telephone: 2422 1805 Fax: 2410 1784 Website: www.copl.com.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KwaiFongEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kwai Fong,6300,16600,6200
Shek Wai Kok Estate,Tsuen Wan,New Territories,22.37649,114.12467,Public Rental Housing,1980 - 1982,Double H  Double I  Old Slab,8,Shek Fong House Shek Ho House Shek Lin House Shek Kuk House Shek Lan House Shek To House Shek Tsui House Shek Kwai House,6 500 As at 30.6.2025,10.9 - 54.8,Formed,Shek Wai Kok Estate Office 4/F  Shek Fong House  Shek Wai Kok Estate  Tsuen Wan Telephone: 2416 5341 Fax: 2415 3846,Shek Wai Kok Estate Office 4/F  Shek Fong House  Shek Wai Kok Estate  Tsuen Wan Telephone: 2416 5341 Fax: 2415 3846,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShekWaiKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Wai Kok,6500,15400,6300
Fu Heng Estate,Tai Po,New Territories,22.45645,114.17074,Tenants Purchase Scheme,1990,New Slab  Trident 3  Trident 4,8,Heng Cheong House Heng Lung House Heng Shing House Heng Wing House Heng Tai House Heng Tsui House Heng Yiu House Heng Yue House,1 000 * As at 30.6.2025,Gross Floor Areas (sqm):18.0 - 65.6; Saleable Areas (sqm):13.9 - 50.5,Not applicable (Owners' Corporation Formed),"Tai Po  North & Shatin District Tenancy Management Office (12) Unit 221 - 240  2/F  Shek Yuk House  Chun Shek Estate  Shatin  N.T. Telephone : 2694 4408 Fax : 2647 1930   Fu Heng Estate Tenants Service Management Office Funing Property Mgt Ltd. Unit 15-18 G/F.  Heng Yue House  Fu Heng Estate  Tai Po. Telephone: 2667 0055	 Fax: 2667 0550",Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Fu Heng,1000,2000,900
Choi Fai Estate,Wong Tai Sin,Kowloon,22.33539,114.21799,Public Rental Housing,1995,Harmony 1,2,Choi Wah House Choi Yip House,1 400 As at 30.6.2025,16.1 - 43.2,Formed,Chuk Yuen District Tenancy Management Office   Unit 101-108  Yung Yuen House  Chuk Yuen (North) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Modern Living Property Management Ltd.  G/F  Choi Yip House  Choi Fai Estate Telephone: 2707 9978 Fax: 2758 2929,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiFaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Fai,1400,3800,1300
Kwong Fuk Estate,Tai Po,New Territories,22.44784,114.17392,Public Rental Housing,1983,Old Slab  Trident 2  Twin Tower,8,Kwong Chi House Kwong Lai House Kwong Ping House Kwong Shung House Kwong Wai House Kwong Yee House Kwong Yan House Kwong Yau House,6 200 As at 30.6.2025,11.2 - 42.1,Formed,Tai Po  North & Shatin District Tenancy Management Office (7) 2/F  On Wo House  Tai Wo Estate  Tai Po Telephone: 2657 2808 Fax: 2657 8660,Good Excel Property Consultants Ltd. G/F near Kwong Yee House  Kwong Fuk Estate  Tai Po. Tel : 2658 4430 Fax : 2638 7606 Email : kwongfukest@cohl.com,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/kwongfukestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kwong Fuk,6200,15400,6100
Wan Hon Estate,Kwun Tong,Kowloon,22.3179,114.22325,Public Rental Housing,1998,Small Household Block,2,Hon Chung House Hon Pak House,1 000 As at 30.6.2025,17.3 - 53.8,Formed,Housing Department Kowloon East (8) District Tenancy Management Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Pacific Extend Properties Management Limited G/F  Hon Chung House  Wan Hon Estate  Kwun Tong Telephone: 2172 7363 Fax: 2172 7255,Pacific Extend Properties Management Limited G/F  Hon Chung House  Wan Hon Estate  Kwun Tong Telephone: 2172 7363 Fax: 2172 7255,-,<a href= /en/common/pdf/global-elements/estate-locator/WanHonEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wan Hon,1000,1900,1000
Wo Lok Estate,Kwun Tong,Kowloon,22.31625,114.2275,Public Rental Housing,1962,Old Slab,11,Cheung On House Fu On House Hang On House Hing On House Kin On House Kui On House Man On House Ping On House Sun On House Tai On House Yee On House,1 900 As at 30.6.2025,24.0 - 32.6,Formed,Housing Department Wo Lok Estate Office G/F  Ping On House  Wo Lok Estate  60 Yuet Wah Street  Kwun Tong  Kowloon Telephone: 2389 0020 Fax: 2763 6648,Housing Department Wo Lok Estate Office G/F  Ping On House  Wo Lok Estate  60 Yuet Wah Street  Kwun Tong  Kowloon Telephone: 2389 0020 Fax: 2763 6648,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/WoLokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wo Lok,1900,4500,1900
Choi Wan (2) Estate,Wong Tai Sin,Kowloon,22.33373,114.21733,Public Rental Housing,1978,Double H  Twin Tower,5,Fung Chak House Kai Fai House King Kung House Ming Lai House Yok Yu House,3 000 As at 30.6.2025,29.0 - 54.9,Formed,Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Easy Living Consultant Limited Flat 111-116  G/F  Ming Lai House  Choi Wan (II) Estate  Kowloon  Telephone: 2755 0328  Fax: 2755 0318,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiWan2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Wan (II),3000,8300,2900
Grandeur Terrace,Yuen Long,New Territories,22.46878,114.00239,Public Rental Housing,2003,Non-standard,11,Block 1 Block 2 Block 3 Block 4 Block 5 Block 6 Block 7 Block 8 Block 9 Block 10 Block 11,4 100 As at 30.6.2025,34.4 - 45.7,Formed,Yuen Long District Tenancy Management Office (2) G/F  Yan Lok House  Tin Yan Estate  Tin Shui Wai Telephone: 3152 2672 Fax: 3152 3780,City Professional Management Ltd. 1/F  Grandeur Terrace Shopping Centre  Grandeur Terrace  88 Tin Shui Road  Tin Shui Wai Telephone: 3401 8268 Fax: 3401 8223,City Professional Management Ltd. 1/F  Grandeur Terrace Shopping Centre  Grandeur Terrace  88 Tin Shui Road  Tin Shui Wai Telephone: 3401 8268 Fax: 3401 8223,-,Tenancy Management: China Overseas Property Services Ltd. G/F  Block 9  Grandeur Terrace  Tin Shui Wai  Yuen Long Telephone: 2786 3511 Fax: 2486 3505  <a href= /en/common/pdf/global-elements/estate-locator/GrandeurTerrace-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Grandeur Terrace,4100,13400,4100
Long Ping Estate,Yuen Long,New Territories,22.44908,114.02275,Tenants Purchase Scheme,1986,Double H  New Slab  Trident 2,15,Cheuk Ping House Chu Ping House Fung Ping House Hay Ping House Hor Ping House Kam Ping House Kang Ping House Ngan Ping House Po Ping House Sau Ping House Shek Ping House Wah Ping House Yuet Ping House Yin Ping House Yuk Ping House,1 500 * As at 30.6.2025,29.1 - 64.5,Not applicable (Owners' Corporation Formed),Yuen Long District Tenancy Management Office (1) G/F  Chuen Shui House  Shui Pin Wai Estate  Yuen Long Telephone: 2442 2461 Fax: 2477 3284  Long Ping Estate Tenants Service Management Office Nice Property Management Limited G/F  Yuet Ping House   Long Ping Estate  Yuen Long Telephone: 2470 5600 Fax: 2470 5066,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Long Ping,1500,3600,1400
Shui Pin Wai Estate,Yuen Long,New Territories,22.44602,114.02027,Public Rental Housing,1981,Old Slab  Single H  Small Household Block,7,Bik Shui House Chuen Shui House Dip Shui House Hong Shui House San Shui House Woo Shui House Ying Shui House,2 400 As at 30.6.2025,22.9 - 54.8,Formed,Yuen Long District Tenancy Management Office (1) G/F  Chuen Shui House  Shui Pin Wai Estate  Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Modern Living Property Management Ltd. No. 1-8  G/F  Ying Shui House  Shui Pin Wai Estate  Yuen Long Telephone: 2479 4237 Fax: 2479 4066,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,-,Electric vehicle charging facility of 1 quick charger is provided at the hourly parking spaces in the carpark  <a href= /en/common/pdf/global-elements/estate-locator/ShuiPinWaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shui Pin Wai,2400,5400,2300
